PRODUCT_CATEGORY,YEARLY_QUANTITY_RANK_SCALED,SEASONAL_RANGE_RANK_SCALED,PEAK_DAY_SCALED
-- Pick a Fruit or Veggie --,,,
Abate Fetel Pears,0.3583617747,0.5767918089,0.2577030812
Acorn Squash,0.5563139932,0.8054607509,0.9159663866
Alfalfa Sprouts,0.3822525597,0.1535836177,0.6526610644
Ambrosia Apples,0.6075085324,0.6040955631,0.3081232493
Anaheim Peppers,0.3720136519,0.09556313993,1
Armenian Cucumbers,0.2457337884,0.3481228669,0.05322128852
Artichokes,0.6416382253,0.337883959,0.2577030812
Arugula,0.7508532423,0.156996587,0.02240896359
Asian Pear,0.5358361775,0.4675767918,0.1484593838
Ataulfo Mango,0.3788395904,0.7645051195,0.6442577031
Autumn Glory Apples,0.2218430034,0.9249146758,0.9495798319
Baby Bella Mushrooms,0.843003413,0.2389078498,0.02521008403
Baby Carrots,0.9283276451,0.1433447099,0.9971988796
Bacon Avocado,0.4436860068,0.4880546075,0.7142857143
Banana Pepper,0.409556314,0.1774744027,0.9971988796
Bananas,1,0.003412969283,0.081232493
Bartlett Pears,0.9010238908,0.4812286689,0.02521008403
Bay Leaves,0.3924914676,0.7406143345,0.9159663866
Bean Sprouts,0.5392491468,0.3447098976,0.081232493
Beefsteak Tomatoes,0.8088737201,0.1911262799,0.4257703081
Bettina Papayas,0.385665529,0.3651877133,0.081232493
Bing Cherries,0.1160409556,0.9317406143,0.512605042
Bitter Melons,0.1740614334,0.6518771331,0.04761904762
Black Grapes,0.6587030717,0.5358361775,0.8459383754
Blackberries,0.8771331058,0.07508532423,0.6722689076
Blood Oranges,0.5290102389,0.795221843,0.08683473389
Blueberries,0.9795221843,0.01365187713,0.05042016807
Bok Choy,0.662116041,0.5563139932,0.05322128852
Bosc Pears,0.5153583618,0.6791808874,0.02801120448
Braeburn Apples,0.3447098976,0.7986348123,0.1232492997
Broccoflower,0.01706484642,0.8225255973,0.01960784314
Broccoli Crowns,0.9317406143,0.2218430034,0.02521008403
Broccoli Sprouts,0.2866894198,0.1194539249,0.2829131653
Broccolini,0.6109215017,0.05802047782,0.1736694678
Brussels Sprouts,0.8327645051,0.4948805461,0.9159663866
Butter Lettuce,0.7372013652,0.2320819113,0.02240896359
Buttercup Squash,0.09215017065,0.747440273,0.9159663866
Butterkin Squash,0.252559727,0.06825938567,0.299719888
Butternut Squash,0.7406143345,0.6860068259,0.9159663866
Button Mushrooms,0.06825938567,0.5733788396,0.01120448179
Cactus Leaf,0.2013651877,0.7303754266,0.5854341737
Calabaza Squash,0.4129692833,0.4982935154,0.03081232493
Campari Tomatoes,0.6928327645,0.6416382253,0.05322128852
Cantaloupe Melons,0.8395904437,0.3549488055,0.3473389356
Cara Cara Oranges,0.7064846416,0.8361774744,0.06442577031
Cauliflower Florettes,0.6484641638,0.2150170648,0.03921568627
Cayenne Pepper,0.08532423208,0.566552901,0.02521008403
Celery,0.9488054608,0.6348122867,0.9159663866
Chanterelle Mushrooms,0.02389078498,0.976109215,0.9159663866
Chayote Squash,0.5631399317,0.409556314,0.07843137255
Cherry Peppers,0.02730375427,0.9419795222,0.9971988796
Cherry Tomatoes,0.7542662116,0.2081911263,0.1120448179
Chinese Eggplant,0.0819112628,0.7167235495,0.07282913165
Chives,0.5870307167,0.6689419795,1
Cilantro,0.9078498294,0.01706484642,0.02521008403
Clementine Oranges,0.8600682594,0.2457337884,0.02521008403
Clover Sprouts,0.1501706485,0.1740614334,0.02521008403
Cocktail Tomatoes,0.4675767918,0.457337884,0.1120448179
Coconuts,0.3890784983,0.3720136519,0.2969187675
Collards,0.6791808874,0.9385665529,0.9159663866
Common Thyme,0.6825938567,0.8976109215,0.9159663866
Cortland Apples,0.3105802048,0.8395904437,0.9159663866
Cotton Candy Grapes,0.590443686,0.8088737201,0.5378151261
Cranberries,0.542662116,1,0.9159663866
Creamer Potatoes,0.614334471,0.542662116,1
Crimini Mushrooms,0.7167235495,0.6825938567,0.9971988796
Cripps Pink Apples,0.819112628,0.07167235495,0.1456582633
Crookneck Squash,0.1535836177,0.2252559727,0.02801120448
Cubanelle Peppers,0.3481228669,0.1501706485,0.03921568627
Curly Kale,0.7883959044,0.4641638225,0.02521008403
Curly Parsley,0.6655290102,0.3959044369,0.9159663866
D'Anjou Pears,0.7440273038,0.7235494881,0.06442577031
Daikon Radish,0.4061433447,0.5187713311,0.04761904762
Dandelion Leaves,0.3242320819,0.1126279863,0.2577030812
Delicata Squash,0.2252559727,0.8941979522,0.9159663866
Dill,0.638225256,0.06484641638,1
Donut Peach,0.07167235495,0.9556313993,0.5238095238
Easter Egg Radish,0.1023890785,0.7372013652,0.2605042017
Eastern Potatoes,0.2491467577,0.5119453925,0.9159663866
Edamame,0.5119453925,0.5802047782,0.1316526611
Elephant Garlic,0.2081911263,0.638225256,1
Empire Apples,0.3515358362,0.7064846416,0.04201680672
Endive,0.337883959,0.5324232082,0.008403361345
English Cucumbers,0.8805460751,0.04778156997,0.02521008403
English Peas,0.1296928328,0.3208191126,0.2549019608
